"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
75,1,1982,4,3,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
76,1,1982,4,3,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
77,2,1984,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
78,2,1981,4,4,1998,-4,1,-4,-4,-4,-4,-4,-4,1,0
79,1,1983,2,5,1998,30,1,-4,-4,1,-4,-4,-4,4,0
80,1,1981,1,4,1999,0,0,-4,-4,-4,-4,-4,-4,4,52
81,2,1984,1,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
82,1,1984,2,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,0
83,1,1981,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,48
84,2,1984,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,8
85,1,1984,4,4,1999,-4,-4,-4,2,2,-4,-4,-4,-4,9
86,2,1980,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,6,13
87,1,1984,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,9
88,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,4,0
89,1,1981,4,1,1998,1,-4,-4,-4,-4,-4,-4,-4,2,0
90,1,1981,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,0
91,2,1982,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,0
92,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
93,1,1983,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
94,2,1980,1,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,52
95,1,1982,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
96,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
97,1,1980,2,1,1998,0,-4,-4,-4,-4,-4,-4,-4,1,0
98,1,1980,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-4,0
99,1,1982,2,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,52
100,2,1981,1,4,1998,-4,-4,-4,-4,1,-4,-4,-4,0,42
101,2,1981,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
102,2,1982,2,1,1999,15,0,-4,-4,-4,-4,-4,-4,5,52
103,2,1983,2,1,1999,30,-4,-4,-4,-4,-4,-4,-4,3,0
104,2,1980,4,1,1999,2,0,-4,-4,-4,-4,-4,-4,7,13
105,1,1983,4,1,1999,-4,-4,-4,-4,10,-4,-4,-4,5,11
106,1,1981,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,7,52
107,2,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,10,19
108,1,1984,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,-4,0
109,2,1982,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,8,0
110,2,1984,4,1,1998,27,-4,-4,1,-4,-4,-4,-4,9,0
111,2,1981,4,6,1999,30,0,-4,-4,-4,-4,-4,-4,-4,50
112,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
113,1,1984,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,8,0
114,2,1982,4,1,1999,30,3,0,-4,3,-4,-4,10,10,39
115,2,1984,2,1,1998,30,-4,-4,-4,-4,-4,-4,-4,11,0
116,1,1984,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,9
117,1,1984,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
118,1,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,20,52
119,1,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,24
120,1,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
121,1,1981,4,1,1998,30,-4,-4,-4,-4,-4,-4,-4,5,30
122,1,1984,4,1,1998,0,-4,-4,1,-4,-4,-4,-4,0,0
123,1,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
