"R0000100","R0536300","R0536402","R1482600","R2563600","R2568302","R3508600","R3510500","R3511300","R3516200","R3516900","R3517700","R3518200","R3519200","R4907500","Z9060800"
2186,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2187,1,1982,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,12,37
2188,1,1980,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,44
2189,1,1981,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,3,52
2190,1,1984,4,6,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2191,2,1982,4,4,1999,13,0,-4,1,-4,-4,-4,-4,1,0
2192,2,1983,4,1,1998,30,-4,-4,-4,-4,-4,-4,-4,10,5
2193,1,1981,4,1,1998,30,4,-4,1,-4,-4,-4,-4,3,47
2194,2,1983,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2195,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2196,2,1980,4,10,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,11
2197,1,1982,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,39
2198,2,1980,4,1,1999,15,3,-4,-4,-4,-4,0,-4,6,47
2199,1,1982,4,1,1999,30,0,-4,-4,1,-4,-4,-4,5,11
2200,1,1984,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2201,2,1981,4,1,1999,5,-4,-4,-4,-4,-4,-4,-4,3,0
2202,2,1981,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,20
2203,2,1983,4,1,1998,0,0,0,-4,-4,-4,-4,-4,2,11
2204,2,1981,4,1,1999,-4,0,-4,-4,-4,-4,-4,-4,6,0
2205,1,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,39
2206,1,1983,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,-4,18
2207,1,1981,4,1,1998,30,0,-4,-4,2,-4,-4,-4,7,52
2208,1,1980,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,9
2209,1,1982,4,1,1998,-4,-4,-4,-4,1,-4,-4,-4,2,20
2210,1,1980,4,4,1999,30,20,0,2,99,-4,-4,6,0,52
2211,1,1984,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2212,1,1982,4,4,1999,3,0,-4,-4,-4,-4,-4,-4,2,11
2213,1,1983,4,6,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2214,1,1980,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,52
2215,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,9
2216,2,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2217,2,1980,4,10,1998,-4,-4,-4,2,-4,-4,-4,-4,4,6
2218,1,1982,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,20,52
2219,2,1980,4,1,1999,2,0,-4,1,-4,-4,-4,-4,2,45
2220,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2221,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2222,2,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,47
2223,2,1981,4,1,1999,4,0,-4,-4,-4,-4,-4,-4,2,10
2224,1,1983,4,1,1999,25,-4,-4,-4,-4,-4,1,-4,5,12
2225,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2226,1,1983,4,1,1999,20,1,1,-4,2,-4,-4,5,10,0
2227,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2228,1,1984,4,4,1999,10,-4,-4,-4,-4,-4,-4,-4,2,0
2229,1,1983,4,1,1999,13,-4,-4,-4,-4,-4,-4,-4,-4,10
2230,1,1983,4,3,1999,23,0,-4,-4,-4,-4,-4,-4,-4,0
2231,2,1983,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,52
2232,2,1981,4,2,1998,-5,-5,-5,-5,-5,-5,-5,-5,0,24
2233,1,1984,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,0
2234,1,1981,4,1,1999,30,0,0,-4,-4,-4,-4,10,13,6
2235,1,1984,4,4,1998,-4,-4,-4,-4,1,-4,-4,-4,-4,0
2236,2,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,7,52
2237,1,1983,4,1,1998,-4,-4,-4,2,2,-4,1,-4,0,0
2238,1,1981,4,1,1998,30,0,-4,-4,-4,-4,-4,-4,3,0
2239,2,1981,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-4,52
2240,2,1981,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-4,52
2241,1,1983,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-4,30
2242,1,1980,2,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-4,29
2243,2,1983,2,1,1999,0,-4,-4,-4,-4,-4,-4,-4,-5,0
2244,2,1982,4,-5,-5,-4,0,-4,-4,-4,-4,-4,-4,-4,11
2245,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2246,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,2,2
2247,2,1982,2,1,1999,10,0,-4,-4,-4,-4,-4,-4,5,35
2248,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2249,2,1980,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
2250,1,1981,4,4,1999,10,-4,-4,-4,-4,-4,-4,-4,10,38
2251,1,1984,4,4,1999,30,3,2,-4,0,-4,30,65,-4,0
2252,1,1981,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,35
2253,1,1982,4,4,1998,-4,-4,-4,1,-4,-4,-4,-4,5,32
2254,1,1981,4,1,1998,-4,0,-4,-4,-4,-4,-4,-4,10,52
2255,1,1981,4,3,1998,-4,0,-4,-4,-4,-4,-4,-4,-5,51
2256,1,1983,4,3,1998,30,10,-4,-4,-4,-4,-4,-4,-4,-3
2257,1,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3
2258,2,1984,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2260,2,1984,4,3,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
2261,1,1980,4,2,1998,28,0,-4,-4,-4,-4,-4,50,0,17
2262,1,1983,4,3,1998,28,0,0,-4,-4,-4,13,1,1,6
2263,2,1982,4,4,1999,28,-4,-4,-4,-4,-4,-4,-4,10,17
2264,1,1983,4,1,1999,-4,-4,-4,-4,1,0,-4,-4,-4,0
2265,2,1982,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,25
2266,1,1984,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,5
2267,1,1982,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,8
2268,2,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2269,1,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2270,2,1981,4,1,1998,0,-4,-4,-4,2,-4,-4,-4,10,52
2271,2,1981,4,1,1999,0,-4,-4,-4,2,-4,-4,-4,17,34
2272,1,1983,4,4,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2273,1,1981,4,2,1998,30,0,-4,-4,-4,-4,-4,-4,1,0
2274,1,1984,2,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,2,0
2275,1,1980,4,1,1999,3,-4,-4,-4,-4,-4,-4,-4,1,38
2276,1,1983,4,1,1999,-4,-4,-4,3,-4,-4,-4,-4,-4,0
2277,2,1980,2,3,1999,10,-4,0,-4,-4,-4,-4,-4,3,52
2278,1,1982,2,2,1998,30,1,-4,1,-4,2,2,0,4,24
2279,1,1983,4,8,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2280,2,1984,2,1,1999,30,0,-4,2,30,15,2,4,3,6
2281,1,1981,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2282,1,1984,1,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2283,2,1982,1,9,1999,-4,-4,-4,0,-4,-4,-4,-4,1,0
2284,2,1980,1,10,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,16
2285,1,1984,2,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2286,2,1981,4,1,1999,30,0,0,-4,-4,-4,-4,-4,-4,28
2287,2,1981,4,-5,-5,15,0,-4,-4,-4,-4,-4,-4,-5,0
2288,1,1982,4,2,1999,-5,-5,-5,-5,-5,-5,-5,-5,10,14
2289,1,1982,4,1,1998,20,0,-4,-4,-4,-4,-4,-4,1,44
2290,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2291,1,1981,4,4,1999,0,-4,-4,-4,-4,-4,-4,-4,5,52
2292,1,1980,4,2,1998,0,-4,-4,-4,-4,-4,-4,-4,3,52
2293,2,1980,4,2,1998,25,-4,-4,1,-4,-4,1,-4,12,7
2294,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,26
2295,1,1981,4,4,1999,5,2,0,-4,-4,-4,-4,12,15,52
2296,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2297,1,1981,4,1,1999,30,0,-4,-4,-4,-4,5,-4,20,17
2298,2,1984,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2299,2,1984,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2300,1,1980,1,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2301,1,1983,1,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2302,1,1982,1,3,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,20
2303,1,1983,1,3,1998,0,-4,-4,-4,-4,-4,-4,-4,4,0
2304,2,1980,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,52
2305,1,1982,4,1,1998,30,6,-4,-4,-4,-4,-4,6,4,9
2306,1,1980,4,10,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,44
2307,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2308,1,1983,4,5,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2309,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2310,1,1980,4,1,1998,30,4,-4,-4,1,-4,-4,9,3,1
2311,2,1983,4,1,1998,30,1,-4,-4,1,-4,-4,-4,0,0
2312,1,1981,4,1,1998,7,0,-4,3,-4,-4,2,99,4,41
2313,1,1982,4,1,1998,30,10,-4,-4,-4,-4,-4,99,1,0
2314,1,1984,4,1,1998,30,0,0,1,-4,-4,-4,-4,2,0
2315,1,1982,4,8,1998,-4,0,-4,-4,-4,-4,-4,34,0,0
2316,1,1982,1,1,1998,5,1,-4,2,3,3,-4,-4,2,0
2317,2,1984,1,1,1998,3,2,-4,-4,-4,-4,-4,-4,1,7
2318,2,1980,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,52
2319,1,1982,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2320,2,1980,4,4,1998,30,-4,-4,-4,-4,-4,-4,-4,2,12
2321,2,1982,4,1,1998,30,0,-4,-4,-4,-4,-4,-4,2,0
2322,2,1984,4,1,1998,30,-4,-4,-4,-4,-4,-4,15,10,0
2323,2,1980,4,9,1998,30,-4,0,-4,-4,-4,-4,-4,4,20
2324,2,1982,4,4,1998,30,0,-4,-4,-4,-4,-4,-4,1,0
2325,1,1983,4,1,1999,30,3,-4,30,45,1,2,4,5,0
2326,1,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,52
2327,1,1982,4,4,1999,30,0,0,-4,-4,-4,-4,8,11,35
2328,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2329,1,1981,4,1,1998,-5,-5,-5,-5,-5,-5,-5,-5,-4,52
2330,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2331,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,14
2332,2,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2333,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,8,31
2334,2,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,51
2335,2,1984,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2336,2,1983,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,4,5
2337,2,1982,4,1,1999,30,0,0,1,-4,-4,-4,-4,20,50
2338,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,0
2339,2,1980,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,2,52
2340,2,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,22
2341,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2342,1,1981,4,1,1998,0,2,-4,-4,-4,-4,-4,-4,0,0
2343,2,1983,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,0
2344,2,1984,4,1,1999,30,-4,-4,5,-4,-4,-4,-4,1,0
2345,2,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,4,9
2346,1,1981,4,1,1998,8,0,-4,-4,-4,-4,-4,-4,25,52
2347,2,1984,4,1,1999,5,0,-4,-4,10,-4,-4,-4,1,15
2348,2,1983,4,1,1998,2,-4,-4,-4,-4,-4,-4,-4,0,0
2349,1,1980,4,1,1998,-4,-4,-4,-4,-4,-4,5,-4,-4,27
2350,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,3,0
2351,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2352,1,1980,4,4,1998,30,0,-4,-4,-4,-4,-4,-4,7,39
2353,2,1981,4,1,1998,15,-4,-4,-4,-4,-4,-4,-4,8,52
2354,2,1980,2,10,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,47
2355,1,1981,2,3,1998,30,23,-4,-4,-4,-4,-4,-4,-5,22
2356,2,1984,2,1,1999,30,-4,-4,-4,-4,-4,-4,-4,-4,0
2357,1,1983,1,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2358,1,1984,1,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2359,2,1980,1,4,1998,-5,-5,-5,-5,-5,-5,-5,-5,-4,14
2360,1,1983,1,4,1999,-4,0,-4,-4,1,-4,-4,-4,1,0
2361,1,1981,1,9,1998,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2362,1,1983,1,4,1998,-4,-4,-4,-4,-4,-4,0,-4,0,0
2363,1,1980,1,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2364,2,1983,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2365,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,5
2366,2,1981,2,1,1998,30,-4,-4,-4,-4,-4,-4,-4,0,16
2367,1,1980,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
2368,2,1982,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2369,1,1983,4,-5,-5,15,-4,-4,-4,-4,-4,-4,-4,-4,0
2370,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,0
2371,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,8
2372,1,1981,4,4,1999,30,0,-4,-4,-4,-4,-4,-4,3,2
2373,1,1981,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,17
2374,1,1982,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,35
2375,1,1984,4,4,1998,2,-4,-4,1,-4,-4,-4,2,-4,52
2376,1,1980,4,6,1999,0,-4,-4,-4,-4,-4,-4,-4,2,24
2377,1,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2378,2,1980,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,30,49
2379,1,1983,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,0
2380,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,28
2381,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2382,1,1981,2,1,1999,30,2,0,-4,-4,-4,-4,4,2,38
2383,1,1981,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,50
2384,1,1981,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2385,1,1983,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,8
2386,2,1980,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,10,36
2387,1,1981,4,3,1998,30,15,1,3,-4,-4,15,20,16,52
2388,1,1982,4,2,1998,30,28,0,10,20,3,10,30,20,52
2389,1,1981,1,1,1998,0,-4,-4,-4,-4,-4,-4,-4,0,9
2390,2,1982,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,20,7
2391,2,1983,1,1,1998,3,-4,-4,-4,-4,-4,-4,-4,0,8
2392,2,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,51
2393,1,1983,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,5,25
2394,1,1982,4,1,1998,-4,-4,-4,2,-4,-4,-4,-4,4,8
2395,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2396,2,1980,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,14,44
2397,1,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2398,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2399,2,1982,4,1,1998,30,27,0,-4,-4,-4,-4,30,20,27
2400,2,1982,4,1,1998,30,15,-4,-4,4,-4,-4,30,30,2
2401,2,1982,4,1,1998,30,10,-4,-4,4,-4,-4,15,15,5
2402,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,52
2403,2,1980,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,32
2404,1,1984,4,1,1998,20,-4,0,-4,-4,-4,-4,-4,-4,52
2405,2,1981,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,33
2406,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,25
2407,1,1980,4,1,1999,30,0,-4,-4,-4,-4,-4,1,5,11
2408,1,1982,4,4,1998,30,27,-4,-4,-4,-4,-4,99,20,52
2409,1,1981,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,0,6
2410,1,1983,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2411,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,11
2412,2,1980,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,0
2413,2,1984,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2414,1,1980,2,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,37
2415,2,1980,4,1,1999,-5,-5,-5,-5,-5,-5,-5,-5,-5,52
2416,2,1980,4,1,1998,-4,0,0,-4,-4,-4,-4,-4,10,14
2417,1,1983,4,1,1998,30,0,-4,-4,-4,-4,-4,-4,2,0
2418,1,1981,2,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,1
2419,1,1984,2,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
2420,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2421,1,1980,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,5,33
2422,1,1981,4,4,1998,30,0,0,1,3,1,5,5,0,38
2423,1,1980,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,-4,47
2424,2,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2425,1,1980,4,1,1998,1,0,-4,2,-4,-4,3,-4,7,52
2426,2,1980,4,-5,-5,30,-4,-4,-4,-4,1,-4,-4,-5,51
2427,2,1981,4,1,1998,30,-4,-4,-4,-4,-4,-4,2,-5,28
2428,1,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2429,1,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4
2430,2,1981,4,1,1998,30,0,-4,-4,-4,-4,-4,-4,0,45
2431,1,1984,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,-5,14
2432,2,1980,4,3,1998,0,0,-4,-4,-4,-4,-4,-4,2,42
2433,2,1983,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,25
2434,1,1980,4,1,1998,0,-4,-4,-4,-4,-4,-4,5,15,47
2435,2,1983,4,1,1998,30,0,0,1,-4,-4,-4,-4,10,52
2436,1,1980,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,0
2437,2,1984,4,-5,-5,0,-4,-4,-4,-4,-4,-4,-4,-4,0
2438,2,1983,4,4,1998,10,0,-4,-4,-4,-4,-4,-4,0,0
2439,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,52
2440,2,1980,1,1,1999,30,-4,1,-4,-4,-4,-4,-4,3,52
2441,1,1981,1,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,20,28
2442,1,1982,2,3,1998,30,0,-4,5,-4,2,-4,6,-5,0
2443,2,1984,2,3,1998,23,-4,-4,-4,-4,-4,-4,-4,1,0
2444,2,1984,1,1,1998,0,-4,-4,-4,-4,-4,-4,-4,0,0
2445,2,1982,4,9,1999,-4,-4,-4,-4,-4,-4,-4,-4,3,0
2446,2,1984,4,4,1998,-4,-4,-4,-4,1,-4,-4,1,-4,0
2447,1,1980,4,2,1998,30,-4,-4,-4,-4,-4,-4,-4,-4,52
2448,2,1981,4,2,1999,-4,-4,-4,-4,-4,-4,-4,-4,1,52
2449,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2450,2,1982,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,35
2451,1,1982,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,34
2452,2,1982,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,0,0
2453,1,1983,4,1,1999,30,-4,-4,-4,-4,-4,-4,-4,1,0
2454,2,1982,2,2,1998,30,0,-4,-4,-4,-4,-4,-4,0,47
2455,1,1983,2,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2456,2,1982,4,4,1999,30,-4,-4,-4,-4,-4,-4,-4,5,0
2457,2,1983,4,4,1999,30,-4,-4,-4,-4,-4,-4,-4,0,0
2458,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,12,0
2459,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,34
2460,1,1983,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,28
2461,1,1982,4,1,1998,1,-4,-4,-4,-4,-4,-4,-4,7,52
2462,2,1981,4,1,1998,30,-4,-4,-4,-4,-4,-4,-4,4,10
2463,1,1984,4,1,1998,2,-4,-4,5,2,-4,-4,5,7,0
2464,2,1980,4,1,1999,0,-4,-4,-4,-4,-4,-4,-4,6,51
2465,2,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,19
2466,1,1984,4,1,1998,-4,0,-4,-4,-4,-4,-4,-4,0,0
2467,1,1984,4,4,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2468,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,5,0
2469,1,1981,4,1,1998,20,-4,-4,2,-4,0,-4,-4,5,35
2470,1,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,0
2471,2,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0
2472,2,1983,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2473,2,1982,4,2,1998,-4,-4,-4,-4,5,-4,-4,-4,17,24
2474,2,1984,4,1,1998,30,-4,-4,-4,-4,-4,-4,-4,10,0
2475,2,1980,2,1,1998,30,-4,-4,-4,-4,-4,-4,-4,-4,52
2476,2,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,2,21
2477,1,1984,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2478,2,1980,4,6,1998,5,-4,-4,-4,-4,-4,-4,-4,-5,-3
2479,1,1982,4,6,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,5
2480,1,1981,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,7,10
2481,1,1984,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2482,2,1981,4,4,1998,30,0,-4,-4,-4,-4,-4,-4,26,9
2483,1,1983,4,2,1998,0,-4,-4,-4,1,-4,-4,-4,3,33
2484,1,1983,4,2,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,30
2485,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2486,2,1980,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,1,51
2487,1,1982,4,5,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2488,2,1984,4,5,1999,30,30,50,2,17,-4,-4,47,-4,0
2489,2,1980,4,1,1998,3,-4,-4,-4,1,1,-4,-4,5,52
2490,1,1983,4,1,1999,29,0,-4,3,20,-4,-4,5,5,0
2491,2,1984,4,1,1999,29,-4,0,-4,-4,-4,-4,1,6,0
2492,1,1980,4,4,1999,30,0,-4,-4,-4,-4,-4,-4,-5,34
2493,2,1982,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2494,2,1984,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,0,40
2495,2,1980,4,-5,-5,3,0,-4,-4,-4,-4,-4,-4,10,31
2496,1,1982,4,1,1999,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
2497,1,1983,4,4,1998,30,0,-4,-4,5,2,-4,-4,2,0
2498,1,1980,4,1,1998,-4,-4,-4,-4,-4,-4,0,-4,0,0
2499,1,1981,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,20,8
2500,1,1983,4,1,1998,-4,-4,-4,-4,-4,-4,-4,-4,5,0
2501,2,1983,2,4,1999,30,-4,0,-4,-4,-4,-4,-4,0,0
2502,2,1982,4,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-5,0
2503,1,1980,4,10,1998,2,-4,-4,-4,-4,-4,-4,-4,5,0
2504,2,1984,4,1,1998,-4,-4,-4,-4,-4,1,-4,-4,0,8
2505,2,1982,4,1,1999,25,-4,-4,-4,0,-4,-4,-4,3,0
2506,1,1984,4,2,1998,25,15,-4,-4,-4,-4,-4,-4,-4,0
2507,1,1984,4,1,1998,-4,-4,-4,-4,5,-4,1,-4,1,0
2508,1,1982,4,1,1998,0,-4,-4,-4,-4,-4,-4,-4,1,13
2509,2,1980,4,4,1998,30,0,-4,-4,-4,-4,-4,-4,1,3
2510,2,1983,4,4,1998,-4,-4,-4,-4,-4,-4,-4,-4,0,0
2511,1,1980,4,1,1999,5,-4,-4,-4,-4,-4,-4,-4,7,52
2512,2,1981,4,1,1998,30,-4,-4,-4,-4,-4,-4,-4,-4,52
2513,1,1980,4,-5,-5,0,-4,-4,-4,-4,-4,-4,-4,-4,18
2514,1,1981,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,39
